party,percentage_2014,percentage_2019,percentage_difference
BRMD,0.0003,0.0000,-0.0003
BhNaP,0.0003,0.0000,-0.0003
BBPSP,0.0003,0.0000,-0.0003
BMSM,0.0007,0.0004,-0.0003
NRSN,0.0003,0.0000,-0.0003
RBS,0.0006,0.0003,-0.0003
BJSP,0.0003,0.0000,-0.0003
bhp,0.0003,0.0000,-0.0003
UMK,0.0018,0.0015,-0.0003
JJ,0.0003,0.0000,-0.0003
BSKP,0.0005,0.0001,-0.0003
NJC,0.0003,0.0000,-0.0003
RaMSP,0.0003,0.0000,-0.0003
RaIP,0.0008,0.0005,-0.0003
RshJP,0.0003,0.0000,-0.0003
RaBaP,0.0003,0.0000,-0.0003
JaRaPa,0.0003,0.0000,-0.0003
BSKD,0.0003,0.0000,-0.0003
RVMP,0.0003,0.0000,-0.0003
raup,0.0003,0.0000,-0.0003
JAP,0.0004,0.0000,-0.0004
ILP(AP),0.0012,0.0008,-0.0004
SWSP,0.0008,0.0003,-0.0004
RAKP,0.0004,0.0000,-0.0004
NAJC,0.0004,0.0000,-0.0004
IBSPK,0.0004,0.0000,-0.0004
RBHP,0.0004,0.0000,-0.0004
asdp,0.0004,0.0000,-0.0004
bjyp,0.0004,0.0000,-0.0004
MAHP,0.0004,0.0000,-0.0004
ABVCP,0.0004,0.0000,-0.0004
DaP,0.0004,0.0000,-0.0004
IVD,0.0005,0.0001,-0.0004
RWSP,0.0004,0.0000,-0.0004
RVP,0.0005,0.0001,-0.0004
LPI(V),0.0004,0.0000,-0.0004
ARWP,0.0004,0.0000,-0.0004
IPP,0.0004,0.0000,-0.0004
ADUP,0.0018,0.0014,-0.0004
JRPa,0.0007,0.0004,-0.0004
AMP,0.0004,0.0000,-0.0004
SLP(L),0.0004,0.0000,-0.0004
BPC,0.0005,0.0001,-0.0004
TLP,0.0005,0.0000,-0.0005
APRSSP,0.0005,0.0000,-0.0005
DABAP,0.0015,0.0010,-0.0005
GRIP,0.0005,0.0000,-0.0005
AKBMP,0.0022,0.0016,-0.0005
LSWP,0.0005,0.0000,-0.0005
RJP(E),0.0005,0.0000,-0.0005
hkd,0.0005,0.0000,-0.0005
NDEP,0.0007,0.0002,-0.0005
RCMP,0.0005,0.0000,-0.0005
BNNP,0.0005,0.0000,-0.0005
ADSMK,0.0005,0.0000,-0.0005
NMK,0.0005,0.0000,-0.0005
ABSC,0.0005,0.0000,-0.0005
JKM,0.0005,0.0000,-0.0005
MaSPa,0.0005,0.0000,-0.0005
JaRaP,0.0005,0.0000,-0.0005
JHP,0.0028,0.0022,-0.0006
NTP,0.0006,0.0000,-0.0006
VHS,0.0006,0.0000,-0.0006
JM,0.0006,0.0000,-0.0006
BHPP,0.0008,0.0003,-0.0006
RSSDP,0.0006,0.0000,-0.0006
BhJaSP,0.0006,0.0000,-0.0006
BaVaP,0.0008,0.0002,-0.0006
BRABSVP,0.0006,0.0000,-0.0006
SaSaP,0.0010,0.0004,-0.0006
ESKP,0.0006,0.0000,-0.0006
RaAD,0.0008,0.0002,-0.0006
shsap,0.0006,0.0000,-0.0006
pms,0.0006,0.0000,-0.0006
RDHP,0.0008,0.0001,-0.0007
BIP,0.0010,0.0004,-0.0007
YuS,0.0009,0.0002,-0.0007
BHBP,0.0009,0.0002,-0.0007
SJPA,0.0030,0.0023,-0.0007
JVBP,0.0008,0.0001,-0.0007
AwVP,0.0007,0.0000,-0.0007
MVA,0.0007,0.0000,-0.0007
RAPa,0.0007,0.0000,-0.0007
LS,0.0007,0.0000,-0.0007
BKSL,0.0007,0.0000,-0.0007
kajp,0.0009,0.0002,-0.0007
"Aa S P",0.0007,0.0000,-0.0007
NSBP,0.0007,0.0000,-0.0007
BKLJP,0.0007,0.0000,-0.0007
NIP,0.0010,0.0002,-0.0008
JPJD,0.0053,0.0045,-0.0008
PSS,0.0030,0.0022,-0.0008
LPR,0.0008,0.0000,-0.0008
AJKMP,0.0008,0.0000,-0.0008
VJCP,0.0008,0.0000,-0.0008
ABSR,0.0008,0.0000,-0.0008
AAP,0.0008,0.0000,-0.0008
DND,0.0008,0.0000,-0.0008
RtJP,0.0008,0.0000,-0.0008
BRAVP,0.0008,0.0000,-0.0008
RrSP,0.0008,0.0000,-0.0008
PPI,0.0008,0.0000,-0.0008
MMM,0.0008,0.0000,-0.0008
sps,0.0009,0.0000,-0.0009
RPS,0.0009,0.0000,-0.0009
BJJD,0.0009,0.0000,-0.0009
RBCP,0.0011,0.0003,-0.0009
RND,0.0012,0.0003,-0.0009
JND,0.0009,0.0000,-0.0009
ALHP,0.0011,0.0003,-0.0009
RAC,0.0009,0.0000,-0.0009
JSK,0.0009,0.0000,-0.0009
RJM,0.0009,0.0000,-0.0009
BC,0.0010,0.0000,-0.0010
BHSSP,0.0010,0.0000,-0.0010
DBSP,0.0010,0.0000,-0.0010
BSP(A),0.0021,0.0011,-0.0010
IKL,0.0010,0.0000,-0.0010
MMKA,0.0016,0.0006,-0.0010
EKSP,0.0010,0.0000,-0.0010
JSEP,0.0013,0.0003,-0.0010
BSP(K),0.0010,0.0000,-0.0010
MOP,0.0010,0.0000,-0.0010
AGRJP,0.0010,0.0000,-0.0010
MNDP,0.0022,0.0010,-0.0011
lpi,0.0011,0.0000,-0.0011
HiPPa,0.0017,0.0006,-0.0011
BGTD,0.0011,0.0000,-0.0011
DNP,0.0011,0.0000,-0.0011
BaSaP,0.0011,0.0000,-0.0011
JeSM,0.0020,0.0010,-0.0011
BCUF,0.0014,0.0001,-0.0012
BNJD,0.0039,0.0027,-0.0012
RBC,0.0012,0.0000,-0.0012
UCPI,0.0012,0.0000,-0.0012
STR,0.0013,0.0000,-0.0013
BJPARTY,0.0013,0.0000,-0.0013
SRP,0.0013,0.0000,-0.0013
RsAD,0.0024,0.0011,-0.0013
SSPD,0.0013,0.0000,-0.0013
SSAD,0.0013,0.0000,-0.0013
HKRD,0.0013,0.0000,-0.0013
KMBS,0.0015,0.0003,-0.0013
RJJM,0.0014,0.0000,-0.0014
PG,0.0014,0.0000,-0.0014
SHP,0.0015,0.0000,-0.0015
KVD,0.0015,0.0000,-0.0015
HVD,0.0015,0.0000,-0.0015
RaCP,0.0015,0.0000,-0.0015
SamSP,0.0032,0.0015,-0.0016
AMS,0.0016,0.0000,-0.0016
SWJP,0.0019,0.0003,-0.0016
PRCP,0.0037,0.0022,-0.0016
RJVP,0.0016,0.0000,-0.0016
AIMF,0.0019,0.0003,-0.0016
BRPP,0.0016,0.0000,-0.0016
BEMP,0.0017,0.0000,-0.0017
TPGC,0.0017,0.0000,-0.0017
INL,0.0023,0.0006,-0.0017
JHAP,0.0024,0.0007,-0.0017
ABHM,0.0057,0.0038,-0.0018
BDBRAJP,0.0018,0.0000,-0.0018
CSM,0.0023,0.0004,-0.0018
SARP,0.0018,0.0000,-0.0018
AAMJP,0.0018,0.0000,-0.0018
AKBJHP,0.0032,0.0014,-0.0018
LKJP,0.0019,0.0000,-0.0019
IUC,0.0026,0.0007,-0.0019
MEDP,0.0020,0.0000,-0.0020
SSKP,0.0020,0.0000,-0.0020
ARPS,0.0023,0.0003,-0.0021
rdsc,0.0021,0.0000,-0.0021
SaBP,0.0031,0.0010,-0.0021
NLP,0.0021,0.0000,-0.0021
RJPK,0.0021,0.0000,-0.0021
RJNP,0.0035,0.0014,-0.0021
JVD,0.0021,0.0000,-0.0021
MBT,0.0022,0.0000,-0.0022
ADSP,0.0022,0.0000,-0.0022
SWPI,0.0022,0.0000,-0.0022
ARVP,0.0023,0.0000,-0.0023
PDS,0.0043,0.0020,-0.0023
ARP,0.0032,0.0007,-0.0024
RaJSP,0.0063,0.0038,-0.0024
LPSP,0.0026,0.0001,-0.0025
RAHM,0.0025,0.0001,-0.0025
LB,0.0026,0.0000,-0.0026
ABJS,0.0040,0.0015,-0.0026
MPS(T),0.0026,0.0000,-0.0026
MwSP,0.0034,0.0007,-0.0027
S(J),0.0027,0.0000,-0.0027
ICSP,0.0028,0.0000,-0.0028
APCP,0.0030,0.0000,-0.0030
NADP,0.0031,0.0000,-0.0031
BhSMP,0.0031,0.0000,-0.0031
NBDP,0.0031,0.0000,-0.0031
PRSP,0.0041,0.0008,-0.0033
ISSP,0.0033,0.0000,-0.0033
SDP,0.0034,0.0000,-0.0034
DFBL,0.0034,0.0000,-0.0034
RPI(KH),0.0044,0.0007,-0.0037
SKLP,0.0037,0.0000,-0.0037
MBCOI,0.0037,0.0000,-0.0037
VIP,0.0046,0.0006,-0.0040
MaSP,0.0042,0.0000,-0.0042
SAP,0.0042,0.0000,-0.0042
MD,0.0044,0.0000,-0.0044
GaAP,0.0045,0.0001,-0.0045
PPA,0.0090,0.0045,-0.0045
JKNPP,0.0110,0.0065,-0.0045
GGP,0.0388,0.0342,-0.0046
RSMD,0.0059,0.0011,-0.0048
jhspt,0.0052,0.0002,-0.0050
pjdl,0.0055,0.0002,-0.0053
JGP,0.0053,0.0000,-0.0053
NAP,0.0070,0.0012,-0.0058
JDR,0.0104,0.0045,-0.0059
SPP,0.0059,0.0000,-0.0059
ravp,0.0075,0.0015,-0.0060
PMSP,0.0075,0.0013,-0.0062
LD,0.0093,0.0030,-0.0063
SDF,0.0315,0.0252,-0.0063
KAP,0.0064,0.0000,-0.0064
RUC,0.0108,0.0042,-0.0066
SP(I),0.0080,0.0006,-0.0073
HJP,0.0090,0.0016,-0.0074
RKSP,0.0090,0.0016,-0.0074
BYS,0.0074,0.0000,-0.0074
RADP,0.0074,0.0000,-0.0074
RSPK(B),0.0083,0.0000,-0.0083
AMB,0.0144,0.0060,-0.0084
JPS,0.0092,0.0004,-0.0087
BVM,0.0088,0.0000,-0.0088
AINRC,0.0492,0.0404,-0.0088
TNMC,0.0094,0.0000,-0.0094
ABML(S),0.0115,0.0008,-0.0106
JMBP,0.0112,0.0005,-0.0106
RP(K),0.0116,0.0002,-0.0114
SJP(R),0.0115,0.0000,-0.0115
"BA S D",0.0115,0.0000,-0.0115
KEC(M),0.0816,0.0686,-0.0130
RPI,0.0169,0.0020,-0.0150
BED,0.0174,0.0000,-0.0174
RPD,0.0184,0.0000,-0.0184
