state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
"Madhya Pradesh",SATNA,"GANESH SINGH",BJP,Lotus,375169,119,375288,1458381,"GANESH SINGH",BJP,Lotus,587410,1343,588753,1575064,52.8667
Gujarat,Dahod,"JASVANTSINH SUMANBHAI BHABHOR",BJP,Lotus,508838,2273,511111,1411765,"JASHVANTSINH SUMANBHAI BHABHOR",BJP,Lotus,558977,2783,561760,1598939,52.8361
Bihar,Khagaria,"CHOUDHARY MAHBOOB ALI KAISER",LJP,Bungalow,313736,70,313806,1506587,"Choudhary Mehboob Ali Kaiser",LJP,Bungalow,509138,1055,510193,1676454,52.7706
Rajasthan,KARAULI-DHOLPUR,"MANOJ RAJORIYA",BJP,Lotus,401921,486,402407,1549468,"MANOJ RAJORIA",BJP,Lotus,523801,2642,526443,1810574,52.7475
Maharashtra,Maval,"APPA ALIAS SHRIRANG CHANDU BARNE",SHS,"Bow & Arrow",512030,196,512226,1953741,"SHRIRANG APPA CHANDU BARNE",SHS,"Bow and Arrow",718950,1713,720663,2298080,52.6465
Maharashtra,"Mumbai   South","ARVIND SAWANT",SHS,"Bow & Arrow",374079,530,374609,1485844,"Arvind Ganpat Sawant",SHS,"Bow and Arrow",420530,1407,421937,1554176,52.6361
Maharashtra,Baramati,"SUPRIYA SULE",NCP,Clock,521050,512,521562,1813553,"Supriya Sule",NCP,Clock,683705,3009,686714,2114663,52.6327
Bihar,Nalanda,"KAUSHLENDRA KUMAR",JD(U),Arrow,321938,44,321982,1951967,"Kaushlendra Kumar",JD(U),Arrow,539183,1705,540888,2114809,52.4479
"Madhya Pradesh",GWALIOR,"NARENDRA SINGH TOMAR",BJP,Lotus,442398,398,442796,1876965,"VIVEK NARAYAN SHEJWALKAR",BJP,Lotus,624801,2449,627250,2000744,52.4414
Bihar,Arrah,"RAJ KUMAR SINGH",BJP,Lotus,390953,121,391074,1824515,"R. K. Singh",BJP,Lotus,560106,6374,566480,2089353,52.4187
Karnataka,Bidar,"BHAGWANTH KHUBA",BJP,Lotus,459044,246,459290,1600962,"BHAGWANTH KHUBA",BJP,Lotus,583833,1638,585471,1775095,52.4068
Uttarakhand,Hardwar,"RAMESH POKHRIYAL NISHANK",BJP,Lotus,590831,1489,592320,1642873,"Ramesh Pokhriyal 'Nishank'",BJP,Lotus,661050,4624,665674,1840738,52.3728
"Andhra Pradesh","Aruku ","KOTHAPALLI GEETHA",YSRCP,"Ceiling Fan",410730,2461,413191,1272340,"GODDETI. MADHAVI",YSRCP,"Ceiling Fan",557561,4629,562190,1451418,52.3192
Karnataka,Mysore,"PRATHAP SIMHA",BJP,Lotus,502543,1365,503908,1723134,"PRATHAP SIMHA",BJP,Lotus,685105,3869,688974,1896333,52.2726
Rajasthan,"TONK-SAWAI MADHOPUR","SUKHBIR SINGH JAUNAPURIA ",BJP,Lotus,548146,391,548537,1710775,"Sukhbir Singh Jaunapuria",BJP,Lotus,641561,2758,644319,1945992,52.2368
Maharashtra,"Bhandara - gondiya","NANABHAU FALGUNRAO PATOLE",BJP,Lotus,605686,443,606129,1655852,"Sunil Baburao Mendhe",BJP,Lotus,646152,4091,650243,1811556,52.2312
Meghalaya,"Tura ","PURNO AGITOK SANGMA",NPEP,Book,239239,62,239301,586501,"AGATHA K. SANGMA",NPEP,Book,304185,270,304455,716990,52.2185
Maharashtra,Bhiwandi,"KAPIL MORESHWAR PATIL",BJP,Lotus,410752,318,411070,1696584,"KAPIL MORESHWAR PATIL",BJP,Lotus,522032,1551,523583,1890100,52.0889
"Uttar Pradesh",Misrikh,"ANJU BALA",BJP,Lotus,412468,107,412575,1725589,"Ashok Kumar Rawat",BJP,Lotus,533562,867,534429,1796932,52.0547
Haryana,Sonipat,"RAMESH CHANDER",BJP,Lotus,346979,224,347203,1417188,"RAMESH CHANDER KAUSHIK",BJP,Lotus,583988,3676,587664,1592611,52.0272
Maharashtra,Satara,"SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE",NCP,Clock,522153,378,522531,1719998,"SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE",NCP,Clock,576078,2948,579026,1848489,51.9104
"West Bengal",Mathurapur,"CHOUDHURY MOHAN JATUA",AITC,"Flowers and Grass",629612,650,630262,1488785,"CHOUDHURY MOHAN JATUA",AITC,"Flowers and Grass",726463,365,726828,1652096,51.8440
Telangana,Medak,"KALVAKUNTLA CHANDRASEKHAR RAO",TRS,Car,655484,2008,657492,1536166,"Kotha Prabhakar Reddy",TRS,Car,595830,218,596048,1603318,51.8202
Punjab,Amritsar,"CAPTAIN AMARINDER SINGH",INC,Hand,482854,22,482876,1477262,"GURJEET SINGH AUJLA",INC,Hand,444052,980,445032,1507875,51.7772
Rajasthan,Dausa,"HARISH CHANDRA MEENA ",BJP,Lotus,314334,725,315059,1524100,"Jaskaur Meena",BJP,Lotus,545481,3252,548733,1730289,51.6292
Kerala,Kollam,N.K.PREMACHANDRAN,RSP,"Spade & Stoker",407021,1507,408528,1219415,N.K.Premachandran,RSP,"Spade & Stoker",497264,2413,499677,1296720,51.6130
"Uttar Pradesh",Jalaun,"BHANU PRATAP SINGH VERMA",BJP,Lotus,548457,174,548631,1887189,"BHANU PRATAP SINGH VERMA",BJP,Lotus,579723,2040,581763,1933358,51.4855
Assam,Jorhat,"KAMAKHYA PRASAD TASA",BJP,Lotus,456170,250,456420,1189486,"TOPON KUMAR GOGOI",BJP,Lotus,540942,2346,543288,1365035,51.3522
Kerala,Ponnani,"E. T. MOHAMMED BASHEER",IUML,Ladder,378409,94,378503,1180789,"E. T. Mohammed Basheer",IUML,Ladder,521438,386,521824,1356803,51.2968
"West Bengal",Asansol,"BABUL SUPRIYA BARAL (BABUL SUPRIYO)",BJP,Lotus,419887,96,419983,1469684,"BABUL SUPRIYO",BJP,Lotus,632727,651,633378,1615865,51.1558
"Uttar Pradesh",Aonla,"DHARMENDRA KUMAR",BJP,Lotus,409533,374,409907,1653577,"DHARMENDRA KASHYAP",BJP,Lotus,536377,1298,537675,1785605,51.0712
"Andhra Pradesh",Kurnool,"BUTTA RENUKA",YSRCP,"Ceiling Fan",471525,1257,472782,1481791,"AYUSHMAN DOCTOR SANJEEV KUMAR",YSRCP,"Ceiling Fan",603098,2364,605462,1573009,50.9508
Maharashtra,"Ratnagiri - sindhudurg","VINAYAK BHAURAO RAUT",SHS,"Bow & Arrow",492900,188,493088,1367362,"Vinayak Raut",SHS,"Bow and Arrow",456013,2009,458022,1455577,50.8291
"Uttar Pradesh",Etawah,"ASHOK KUMAR DOHAREY",BJP,Lotus,438762,884,439646,1707237,"Dr RAM SHANKAR KATHERIA",BJP,Lotus,519674,2445,522119,1757984,50.7989
Kerala,Ernakulam,"PROF. K.V. THOMAS",INC,Hand,353552,289,353841,1156492,"HIBI EDEN",INC,Hand,490854,409,491263,1245972,50.7921
Bihar,"Sasaram (SC)","CHHEDI PASWAN",BJP,Lotus,365576,511,366087,1607747,"CHHEDI PASWAN",BJP,Lotus,492364,2436,494800,1787878,50.7618
"Madhya Pradesh",BALAGHAT,"BODHSINGH BHAGAT",BJP,Lotus,479123,1471,480594,1629741,"DR DHAL SINGH BISEN",BJP,Lotus,692859,3243,696102,1767725,50.7356
"Uttar Pradesh",Salempur,"RAVINDRA KUSHAWAHA",BJP,Lotus,391636,577,392213,1661737,RAVINDER,BJP,Lotus,464629,3311,467940,1667282,50.7242
Chandigarh,CHANDIGARH,"KIRRON KHER ",BJP,Lotus,191295,67,191362,615214,"KIRRON KHER",BJP,Lotus,230967,221,231188,646729,50.6360
Punjab,Gurdaspur,"VINOD KHANNA",BJP,Lotus,482042,213,482255,1500337,"SUNNY DEOL",BJP,Lotus,551177,7542,558719,1595284,50.6138
Karnataka,Bellary,"B. SREERAMULU",BJP,Lotus,534213,193,534406,1487945,"Y. DEVENDRAPPA",BJP,Lotus,614274,2114,616388,1751734,50.4440
"Uttar Pradesh",Kairana,"HUKUM SINGH",BJP,Lotus,565071,838,565909,1531767,"Pradeep Kumar",BJP,Lotus,564380,2581,566961,1666703,50.4393
Karnataka,"Bangalore central","P.C. MOHAN",BJP,Lotus,556710,420,557130,1931456,"P. C. Mohan",BJP,Lotus,601170,1683,602853,2204817,50.3538
"Uttar Pradesh",Baghpat,"DR. SATYA PAL SINGH",BJP,Lotus,423108,367,423475,1505175,"Dr. SATYAPAL SINGH",BJP,Lotus,519631,6158,525789,1616476,50.3198
Maharashtra,Nashik,"GODSE HEMANT TUKARAM",SHS,"Bow & Arrow",493605,1130,494735,1593774,"Godse Hemant Tukaram",SHS,"Bow and Arrow",562034,1565,563599,1885064,50.2660
Maharashtra,Beed,"MUNDE GOPINATHRAO PANDURANG",BJP,Lotus,635426,569,635995,1792652,"Pritam Gopinathrao Munde",BJP,Lotus,675841,2334,678175,2045405,50.1461
"West Bengal",Tamluk,"ADHIKARI SUVENDU",AITC,"Flowers and Grass",715556,1372,716928,1527273,"Adhikari Dibyendu",AITC,"Flowers and Grass",723641,792,724433,1694646,50.0818
"West Bengal",Kanthi,"ADHIKARI SISIR KUMAR",AITC,"Flowers and Grass",675899,850,676749,1490409,"Adhikari Sisir",AITC,"Flowers and Grass",711233,639,711872,1660147,49.9823
"Uttar Pradesh",Domariyaganj,"JAGDAMBIKA PAL",BJP,Lotus,298845,0,298845,1761415,"JAGDAMBIKA PAL",BJP,Lotus,492145,108,492253,1885433,49.9613
"West Bengal","Kolkata Uttar","SUDIP BANDYOPADHYAY",AITC,"Flowers and Grass",343389,298,343687,1433985,"BANDYOPADHYAY SUDIP",AITC,"Flowers and Grass",474490,401,474891,1444082,49.9563
Maharashtra,"Ramtek ","KRUPAL BALAJI TUMANE",SHS,"Bow & Arrow",519214,678,519892,1677266,"Krupal Balaji Tumane",SHS,"Bow and Arrow",594827,2299,597126,1922764,49.8959
Maharashtra,"Dindori ","CHAVAN HARISHCHANDRA DEORAM",BJP,Lotus,542305,479,542784,1530208,"Dr. Bharati Pravin Pawar",BJP,Lotus,565452,2018,567470,1732936,49.8817
Maharashtra,"Nandurbar ","DR.GAVIT HEENA VIJAYKUMAR",BJP,Lotus,578166,1320,579486,1672943,"Dr. Heena Vijaykumar Gavit",BJP,Lotus,637226,1910,639136,1871099,49.8648
"Madhya Pradesh",RATLAM,"DILEEPSINGH BHURIA",BJP,Lotus,544453,1527,545980,1702576,"GUMAN SINGH DAMOR",BJP,Lotus,694243,1860,696103,1851112,49.7036
"Uttar Pradesh",Mohanlalganj,"KAUSHAL KISHORE",BJP,Lotus,454392,882,455274,1838194,"Kaushal Kishore",BJP,Lotus,627223,2776,629999,2023431,49.6221
Maharashtra,Akola,"DHOTRE SANJAY SHAMRAO",BJP,Lotus,455996,476,456472,1672643,"Dhotre Sanjay Shamrao",BJP,Lotus,552898,1546,554444,1865169,49.5287
Maharashtra,Osmanabad,"GAIKWAD RAVINDRA VISHWANATH",SHS,"Bow & Arrow",606351,1348,607699,1759186,"Omprakash Bhupalsinh Alias Pawan Rajenimbalkar",SHS,"Bow and Arrow",591605,5035,596640,1889740,49.5248
"Uttar Pradesh",Muzaffarnagar,"(DR.) SANJEEV KUMAR BALYAN",BJP,Lotus,649938,3453,653391,1588475,"Sanjeev Kumar Balyan",BJP,Lotus,569535,4245,573780,1698003,49.4608
Rajasthan,Banswara,"MANSHANKAR NINAMA ",BJP,Lotus,575782,1651,577433,1698244,"KANAKMAL KATARA",BJP,Lotus,710684,1025,711709,1975368,49.4355
Kerala,Vadakara,"MULLAPPALLY RAMACHANDRAN",INC,Hand,415445,1034,416479,1182504,"K. MURALEEDHARAN",INC,Hand,525004,1751,526755,1288926,49.4318
Karnataka,Koppal,"KARADI SANGANNA AMARAPPA",BJP,Lotus,486188,195,486383,1535105,"KARADI SANGANNA AMARAPPA",BJP,Lotus,584997,1786,586783,1736693,49.2951
"Uttar Pradesh",Bhadohi,"VIRENDRA SINGH",BJP,Lotus,403583,112,403695,1834598,"RAMESH CHAND",BJP,Lotus,508989,1040,510029,1942514,49.0700
Assam,Mangaldoi,"RAMEN DEKA",BJP,Lotus,486230,127,486357,1515676,"DILIP SAIKIA",BJP,Lotus,732740,2729,735469,1800237,48.8325
"Uttar Pradesh",Faizabad,"LALLU SINGH",BJP,Lotus,491663,98,491761,1738701,"LALLU SINGH",BJP,Lotus,528113,908,529021,1821785,48.6626
Lakshadweep,Lakshadweep,"MOHAMMED FAIZAL P.P.",NCP,Clock,21665,0,21665,49922,"MOHAMMED FAIZAL PP",NCP,Clock,22796,55,22851,55189,48.6098
"Madhya Pradesh",MANDLA,"FAGGAN SINGH KULASTE",BJP,Lotus,584540,1180,585720,1824702,"FAGGAN SINGH KULASTE",BJP,Lotus,735365,1901,737266,1951267,48.5921
Jharkhand,Rajmahal,"VIJAY KUMAR HANSDAK",JMM,"Bow & Arrow",379337,170,379507,1353467,"VIJAY KUMAR HANSDAK",JMM,"Bow & Arrow",506589,1241,507830,1454436,48.4729
Assam,Nowgong,"RAJEN GOHAIN ",BJP,Lotus,494005,141,494146,1523881,"Sri Rupak Sharma",BJP,Lotus,720727,2245,722972,1794648,48.4087
Maharashtra,"Solapur ","SHARAD BANSODE",BJP,Lotus,517176,703,517879,1702739,"SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI",BJP,Lotus,523352,1633,524985,1851654,48.4074
"Uttar Pradesh",Sitapur,"RAJESH VERMA",BJP,Lotus,417215,331,417546,1550263,"Rajesh Verma",BJP,Lotus,513984,544,514528,1666126,48.3342
"Uttar Pradesh",Kannauj,"DIMPLE YADAV",SP,Bicycle,488946,218,489164,1808886,"DIMPLE YADAV",SP,Bicycle,549200,1534,550734,1874824,48.2890
"West Bengal",Ghatal,"ADHIKARI DEEPAK (DEV)",AITC,"Flowers and Grass",685122,574,685696,1610489,"ADHIKARI DEEPAK (DEV)",AITC,"Flowers and Grass",717407,552,717959,1800002,48.2234
"Uttar Pradesh",Dhaurahra,REKHA,BJP,Lotus,360223,134,360357,1558041,"REKHA VERMA",BJP,Lotus,512582,323,512905,1644674,48.2126
"Uttar Pradesh",Meerut,"RAJENDRA AGARWAL",BJP,Lotus,531898,1083,532981,1764388,"RAJENDRA AGARWAL",BJP,Lotus,582976,3208,586184,1892931,48.1896
Bihar,Buxar,"ASHWINI KUMAR CHOUBEY",BJP,Lotus,318954,58,319012,1640671,"Ashwini Kumar Choubey",BJP,Lotus,468690,4363,473053,1829373,47.9351
"West Bengal",Jadavpur,"SUGATA BOSE",AITC,"Flowers and Grass",583490,754,584244,1595746,"MIMI CHAKRABORTY",AITC,"Flowers and Grass",687773,699,688472,1816857,47.9139
"West Bengal",Bolpur,"ANUPAM HAZRA",AITC,"Flowers and Grass",630085,608,630693,1538421,"ASIT KUMAR MAL",AITC,"Flowers and Grass",698441,730,699171,1705073,47.8468
"Madhya Pradesh",MORENA,"ANOOP MISHRA",BJP,Lotus,375526,41,375567,1702457,"NARENDRA SINGH TOMAR",BJP,Lotus,537856,3833,541689,1837723,47.6298
"West Bengal","Kolkata Dakshin","SUBRATA BAKSHI",AITC,"Flowers and Grass",431119,596,431715,1685296,"Mala Roy",AITC,"Flowers and Grass",572188,931,573119,1728851,47.4969
"Uttar Pradesh",Ballia,"BHARAT SINGH",BJP,Lotus,359329,429,359758,1768271,"Virendra Singh",BJP,Lotus,464039,5075,469114,1822625,47.3981
Maharashtra,Shirdi,"LOKHANDE SADASHIV KISAN",SHS,"Bow & Arrow",532577,359,532936,1462267,"SADASHIV KISAN LOKHANDE",SHS,"Bow and Arrow",483449,3371,486820,1587079,47.2934
Bihar,Pataliputra,"RAM KRIPAL YADAV",BJP,Lotus,382232,1030,383262,1736074,"RAM KRIPAL YADAV",BJP,Lotus,506557,3000,509557,1925479,47.2797
"Uttar Pradesh",Machhlishahr,"RAM CHARITRA NISHAD",BJP,Lotus,437723,487,438210,1891969,"Bholanath (B.P. Saroj)",BJP,Lotus,487093,1304,488397,1848306,47.1915
"West Bengal",Howrah,"PRASUN BANERJEE",AITC,"Flowers and Grass",488339,122,488461,1505099,"Prasun Banerjee",AITC,"Flowers and Grass",576499,212,576711,1633925,47.1827
"Uttar Pradesh",Chandauli,"DR MAHENDRA NATH PANDEY",BJP,Lotus,413760,375,414135,1593133,"Dr. Mahendra Nath Pandey",BJP,Lotus,508113,2620,510733,1756837,47.0739
"Madhya Pradesh",CHHINDWARA,"KAMAL NATH",INC,Hand,559667,88,559755,1402038,"NAKUL KAMAL NATH",INC,Hand,586551,754,587305,1514783,47.0585
Telangana,"Mahabubabad  ","PROF. AZMEERA SEETARAM NAIK",TRS,Car,319388,1181,320569,1387288,"Kavitha Malothu",TRS,Car,461824,285,462109,1424385,46.9845
Maharashtra,Buldhana,"JADHAV PRATAPRAO GANPATRAO",SHS,"Bow & Arrow",508972,173,509145,1595435,"Jadhav Prataprao Ganpatrao",SHS,"Bow and Arrow",520537,1440,521977,1762918,46.5902
"Tamil Nadu",Vellore,"SENGUTTUVAN, B.",ADMK,"Two Leaves",383583,136,383719,1312259,A.C.SHANMUGAM,ADMK,"Two Leaves",476690,509,477199,1438643,46.5081
"West Bengal",Barasat,"DR. KAKALI GHOSHDOSTIDAR",AITC,"Flowers and Grass",524105,1282,525387,1512792,"Dr. Kakoli Ghoshdastidar",AITC,"Flowers and Grass",647819,625,648444,1718252,46.4692
Haryana,Rohtak,"DEEPENDER SINGH HOODA",INC,Hand,489900,163,490063,1567508,"DEEPENDER SINGH HOODA",INC,Hand,563606,2736,566342,1737133,46.3998
"Uttar Pradesh",Barabanki,"PRIYANKA SINGH RAWAT",BJP,Lotus,454211,3,454214,1721278,"Upendra Singh Rawat",BJP,Lotus,535594,323,535917,1816830,46.3860
Kerala,Kottayam,"JOSE K. MANI",KEC(M),"Two Leaves",423463,731,424194,1161465,"Thomas Chazhikadan",KEC(M),"Two Leaves",420294,752,421046,1206698,46.2516
"Uttar Pradesh",Banda,"BHAIRON PRASAD MISHRA",BJP,Lotus,342008,58,342066,1601855,"R.K. SINGH PATEL",BJP,Lotus,477100,826,477926,1702024,46.1966
"Andhra Pradesh",Srikakulam,"RAMMOHAN NAIDU KINJARAPU",TDP,Bicycle,552348,4197,556545,1413726,"KINJARAPU RAM MOHAN NAIDU",TDP,Bicycle,529213,5331,534544,1553860,46.1877
Maharashtra,Yavatmal-Washim,"GAWALI BHAVANA PUNDLIKRAO",SHS,"Bow & Arrow",476930,975,477905,1755292,"Bhavana Pundlikrao Gawali",SHS,"Bow and Arrow",540104,1994,542098,1916185,46.1666
"Uttar Pradesh",Amroha,"KANWAR SINGH TANWAR",BJP,Lotus,528796,84,528880,1544245,"KANWAR SINGH TANWAR",BJP,Lotus,536380,1454,537834,1646435,46.0009
Jharkhand,Khunti,"KARIA MUNDA",BJP,Lotus,269160,25,269185,1111856,"ARJUN MUNDA",BJP,Lotus,381566,1072,382638,1202664,45.9693
"Andhra Pradesh","Bapatla ","MALYADRI SRIRAM",TDP,Bicycle,574690,3455,578145,1392964,"MALYADRI SRIRAM",TDP,Bicycle,577403,4789,582192,1468671,45.9689
"Uttar Pradesh",Sultanpur,"FEROZE VARUN GANDHI",BJP,Lotus,410317,31,410348,1703698,"MANEKA SANJAI GANDHI",BJP,Lotus,458281,915,459196,1775196,45.9051
Kerala,Kozhikode,"M .K RAGHAVAN",INC,Hand,396219,1396,397615,1182484,M.K.RAGHAVAN,INC,Hand,491835,1609,493444,1318024,45.8509
"Uttar Pradesh",Badaun,"DHARMENDRA YADAV",SP,Bicycle,498008,370,498378,1769145,"Dharmendra Yadav",SP,Bicycle,491959,939,492898,1891576,45.5918
Maharashtra,Gadchiroli-Chimur,"ASHOK MAHADEORAO NETE",BJP,Lotus,535616,366,535982,1468437,"ASHOK MAHADEORAO NETE",BJP,Lotus,517722,2246,519968,1581366,45.5035
"West Bengal",Srerampur,"KALYAN BANERJEE",AITC,"Flowers and Grass",514484,449,514933,1624038,"KALYAN BANERJEE",AITC,"Flowers and Grass",637231,476,637707,1785472,45.4951
Telangana,"Peddapalle ","BALKA SUMAN",TRS,Car,563214,2282,565496,1425355,"Venkatesh Netha Borlakunta",TRS,Car,441007,314,441321,1479091,45.4946
"West Bengal",Baharampur,"ADHIR RANJAN CHOWDHURY",INC,Hand,583193,356,583549,1453783,"ADHIR RANJAN CHOWDHURY",INC,Hand,589580,1526,591106,1638378,45.4698
Jharkhand,Lohardaga,"SUDARSHAN BHAGAT",BJP,Lotus,226579,87,226666,1119144,"SUDARSHAN BHAGAT",BJP,Lotus,369527,2068,371595,1234286,45.4523
Kerala,"Mavelikkara ","KODIKUNNIL SURESH",INC,Hand,401485,947,402432,1252668,"KODIKUNNIL SURESH",INC,Hand,437997,2418,440415,1308102,45.3552
"Andaman & Nicobar Islands","Andaman & Nicobar Islands","BISHNU PADA RAY",BJP,Lotus,90882,87,90969,269360,"VISHAL JOLLY",BJP,Lotus,93772,129,93901,318471,45.2980
Goa,"South Goa","ADV. NARENDRA KESHAV SAWAIKAR",BJP,Lotus,198176,600,198776,545336,"ADV. NARENDRA SAWAIKAR",BJP,Lotus,191205,601,191806,579352,45.1760
"West Bengal",Birbhum,"SATABDI ROY",AITC,"Flowers and Grass",460216,352,460568,1495089,"SATABDI ROY",AITC,"Flowers and Grass",653426,651,654077,1699219,45.1267
"Andhra Pradesh",Vijayawada,"KESINENI SRINIVAS (NANI)",TDP,Bicycle,589702,3251,592953,1564513,"KESINENI SRINIVAS (NANI)",TDP,Bicycle,573929,1569,575498,1652994,45.0413
"West Bengal",Krishnanagar,"TAPAS PAUL",AITC,"Flowers and Grass",438140,649,438789,1476783,"MAHUA MOITRA",AITC,"Flowers and Grass",613652,1220,614872,1631698,44.9980
Telangana,Nalgonda,"GUTHA SUKHENDER REDDY",INC,Hand,467984,4109,472093,1494343,"UTTAM KUMAR REDDY NALAMADA",INC,Hand,525508,520,526028,1585980,44.7416
"Uttar Pradesh",Basti,"HARISH CHANDRA  ALIAS  HARISH DWIVEDI",BJP,Lotus,357673,7,357680,1787476,"HARISH CHANDRA ALIAS HARISH DWIVEDI",BJP,Lotus,469214,1948,471162,1845223,44.6794
Maharashtra,Shirur,"ADHALRAO SHIVAJI DATTATREY",SHS,"Bow & Arrow",642828,587,643415,1824112,"Adhalrao Shivaji Dattatrey",SHS,"Bow and Arrow",576002,1345,577347,2175529,44.6477
"Uttar Pradesh",Bijnor,"KUNWAR BHARTENDRA",BJP,Lotus,485625,1288,486913,1562081,"RAJA BHARATENDRA SINGH",BJP,Lotus,488061,3043,491104,1664125,44.6149
Karnataka,Chamarajanagar,"R. DHRUVANARAYANA",INC,Hand,567587,195,567782,1555781,"R. DHRUVANARAYANA",INC,Hand,565754,966,566720,1686333,44.6005
"West Bengal","Bardhaman Purba","SUNIL KUMAR MONDAL",AITC,"Flowers and Grass",574315,245,574560,1532244,"SUNIL KUMAR MONDAL",AITC,"Flowers and Grass",640490,344,640834,1698089,44.5244
"West Bengal","Cooch behar","RENUKA SINHA",AITC,"Flowers and Grass",525275,1224,526499,1613403,"ADHIKARY PARESH CHANDRA",AITC,"Flowers and Grass",676339,1024,677363,1814200,44.4265
Maharashtra,Raigad,"ANANT GEETE",SHS,"Bow & Arrow",395951,227,396178,1532781,"Anant Geete",SHS,"Bow and Arrow",452942,2588,455530,1652965,44.4217
"West Bengal",Arambagh,"APARUPA PODDAR (AFRIN ALI)",AITC,"Flowers and Grass",748168,596,748764,1600293,"APARUPA PODDAR (AFRIN ALI)",AITC,"Flowers and Grass",649613,316,649929,1764726,44.1534
Karnataka,Gulbarga,"MALLIKARJUN KHARGE",INC,Hand,506975,218,507193,1721990,"MALLIKARJUN KHARGE",INC,Hand,523552,1188,524740,1945765,44.1195
Assam,Silchar,"SUSHMITA DEV  ",INC,Hand,336426,25,336451,1060175,"SUSHMITA DEV",INC,Hand,416233,1585,417818,1195720,43.9949
"Uttar Pradesh","Sant Kabir Nagar","SHARAD TRIPATHI",BJP,Lotus,348884,8,348892,1904315,"PRAVEEN KUMAR NISHAD",BJP,Lotus,466167,1376,467543,1962903,43.9672
Sikkim,Sikkim,"PREM DAS RAI",SDF,Umbrella,159704,3994,163698,370770,"DEK BAHADUR KATWAL",SDF,Umbrella,149158,5331,154489,434128,43.9206
"Uttar Pradesh",Amethi,"RAHUL GANDHI",INC,Hand,408650,1,408651,1669843,"Rahul Gandhi",INC,Hand,412867,527,413394,1743515,43.8636
Karnataka,Chitradurga,B.N.CHANDRAPPA,INC,Hand,467372,139,467511,1661277,"B N CHANDRAPPA",INC,Hand,545159,858,546017,1760633,43.8233
"Uttar Pradesh",Shrawasti,"DADDAN MISHRA",BJP,Lotus,345872,92,345964,1788080,"DADDAN MISHRA",BJP,Lotus,436228,223,436451,1914739,43.7761
"West Bengal",Jhargram,"UMA SAREN",AITC,"Flowers and Grass",673798,706,674504,1475112,"Birbaha Saren",AITC,"Flowers and Grass",613566,1250,614816,1641868,43.7214
"Andhra Pradesh",Vizianagaram,"ASHOK GAJAPATHI RAJU PUSAPATI",TDP,Bicycle,534357,2192,536549,1403736,"Ashok Gajapathi Raju Pusapati",TDP,Bicycle,527307,3075,530382,1503980,43.5493
Telangana,"Bhongir ","DR. BOORA NARSAIAH GOUD",TRS,Car,446822,1342,448164,1492240,"Dr. Boora Narsaiah Goud",TRS,Car,527235,341,527576,1628033,43.5067
"Andhra Pradesh",Guntur,"JAYADEV GALLA",TDP,Bicycle,615170,3247,618417,1572017,"Jayadev Galla",TDP,Bicycle,586292,1626,587918,1706119,43.5020
"Uttar Pradesh",Firozabad,"AKSHAY YADAV",SP,Bicycle,534573,10,534583,1636738,"Akshay Yadav",SP,Bicycle,465686,1352,467038,1790510,43.4104
Karnataka,Chikkodi,"PRAKASH BABANNA HUKKERI",INC,Hand,474301,72,474373,1442206,"PRAKASH BABANNA HUKKERI",INC,Hand,524871,1269,526140,1612556,43.2130
"Tamil Nadu","Chidambaram ","CHANDRAKASI, M",ADMK,"Two Leaves",428858,678,429536,1366190,"CHANDRASEKAR P",ADMK,"Two Leaves",495432,1578,497010,1480222,43.0986
Maharashtra,Parbhani,"JADHAV SANJAY (BANDU) HARIBHAU",SHS,"Bow & Arrow",578067,388,578455,1803792,"JADHAV SANJAY (BANDU) HARIBHAU",SHS,"Bow and Arrow",538214,727,538941,1985228,43.0195
"Tamil Nadu","Theni ","PARTHIPAN, R.",ADMK,"Two Leaves",570919,335,571254,1441302,"RAVEENDRANATH KUMAR, P",ADMK,"Two Leaves",503459,1354,504813,1561040,43.0181
"Uttar Pradesh",Moradabad,"KUNWER SARVESH KUMAR",BJP,Lotus,484023,1201,485224,1771985,"KUNWAR SARVESH KUMAR",BJP,Lotus,549729,1809,551538,1958939,43.0148
"Daman & Diu","Daman & diu","PATEL LALUBHAI BABUBHAI",BJP,Lotus,46956,4,46960,111827,"LALUBHAI BABUBHAI PATEL",BJP,Lotus,37586,11,37597,121740,42.9832
"Uttar Pradesh","Ambedkar Nagar","HARI OM PANDEY",BJP,Lotus,432074,30,432104,1718774,"Mukut Bihari",BJP,Lotus,467287,951,468238,1785657,42.9516
Maharashtra,Sangli,"SANJAYKAKA PATIL",BJP,Lotus,609402,2161,611563,1649107,"Sanjaykaka Patil",BJP,Lotus,503615,5380,508995,1809109,42.7742
Karnataka,Raichur,B.V.NAYAK,INC,Hand,443533,126,443659,1661606,"B. V NAIK",INC,Hand,479959,662,480621,1928204,42.7452
