state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Rajasthan,Jodhpur,"GAJENDRASINGH SHEKHAWAT ",BJP,Lotus,708060,5455,713515,1727791,"Gajendra Singh Shekhawat",BJP,Lotus,781166,7722,788888,1956755,58.5992
Maharashtra,"Ahmadnagar ","GANDHI DILIPKUMAR MANSUKHLAL",BJP,Lotus,603976,1209,605185,1705005,"Dr. SUJAY RADHAKRISHNA VIKHEPATIL",BJP,Lotus,696961,7699,704660,1861396,58.5364
Rajasthan,Kota,"OM BIRLA ",BJP,Lotus,641365,3457,644822,1744539,"OM BIRLA",BJP,Lotus,796071,3980,800051,1948010,58.5246
Gujarat,Jamnagar,"POONAMBEN HEMATBHAI MAADAM",BJP,Lotus,482451,1961,484412,1470952,"POONAMBEN HEMATBHAI MAADAM",BJP,Lotus,587501,4087,591588,1657166,58.5172
Gujarat,Amreli,"KACHHADIYA NARANBHAI BHIKHABHAI",BJP,Lotus,435132,1583,436715,1486286,"Kachhadiya Naranbhai Bhikhabhai",BJP,Lotus,527593,1442,529035,1628451,58.1890
Rajasthan,Sikar,"SUMEDHANAND SARASWATI ",BJP,Lotus,496393,3035,499428,1769882,"Sumedhanand Saraswati",BJP,Lotus,761332,10772,772104,2041612,58.1855
"Uttar Pradesh",Shahjahanpur,"KRISHNA RAJ",BJP,Lotus,524025,1107,525132,1979294,"Arun Kumar Sagar",BJP,Lotus,686352,2638,688990,2114201,58.0859
"Jammu & Kashmir",Jammu,"JUGAL KISHORE",BJP,Lotus,618245,1750,619995,1848155,"Jugal Kishore",BJP,Lotus,840214,17852,858066,2047302,58.0247
Bihar,"Purvi Champaran","RADHA MOHAN SINGH",BJP,Lotus,400435,17,400452,1439253,"RADHA MOHAN SINGH",BJP,Lotus,574081,3706,577787,1658672,57.8134
Maharashtra,Jalna,"DANVE RAOSAHEB DADARAO",BJP,Lotus,590849,579,591428,1612056,"Danve Raosaheb Dadarao",BJP,Lotus,694945,3074,698019,1867220,57.7764
Telangana,Warangal,"KADIYAM SRIHARI",TRS,Car,658828,2811,661639,1537778,"DAYAKAR PASUNOORI",TRS,Car,612027,471,612498,1666770,57.6933
Gujarat,Sabarkantha,"RATHOD DIPSINH SHANKARSINH",BJP,Lotus,549061,3144,552205,1615840,"RATHOD DIPSINH SHANKARSINH",BJP,Lotus,696497,5486,701983,1801717,57.6174
"Madhya Pradesh",REWA,"JANARDAN MISHRA",BJP,Lotus,383246,74,383320,1544719,"JANARDAN MISHRA",BJP,Lotus,580769,3000,583769,1679534,57.6135
Karnataka,"Dakshina Kannada","NALIN KUMAR KATEEL",BJP,Lotus,642452,287,642739,1565219,"NALIN KUMAR KATEEL",BJP,Lotus,772754,1531,774285,1724976,57.5660
Assam,Tezpur,"RAM PRASAD SARMAH",BJP,Lotus,446406,105,446511,1259568,"PALLAB LOCHAN DAS",BJP,Lotus,681437,2729,684166,1499639,57.4835
"Andhra Pradesh",Rajampet,"P.V.MIDHUN REDDY",YSRCP,"Ceiling Fan",599650,2102,601752,1487791,"P.V.MIDHUN REDDY",YSRCP,"Ceiling Fan",695277,6934,702211,1546938,57.3536
Karnataka,Bijapur,"RAMESH JIGAJINAGI",BJP,Lotus,471738,19,471757,1622635,"JIGAJINAGI RAMESH CHANDAPPA",BJP,Lotus,633868,1999,635867,1797587,57.2155
Jharkhand,Ranchi,"RAM TAHAL CHOUDHARY",BJP,Lotus,448617,112,448729,1648459,"SANJAY SETH",BJP,Lotus,703983,2527,706510,1915959,57.2107
Assam,Gauhati,"BIJOYA CHAKRAVARTY",BJP,Lotus,764904,81,764985,1922270,"QUEEN OJA",BJP,Lotus,1007156,1780,1008936,2181319,57.2038
"Uttar Pradesh",Deoria,"KALRAJ MISHRA",BJP,Lotus,495861,639,496500,1806926,"RAMAPATI RAM TRIPATHI",BJP,Lotus,577617,3027,580644,1754195,57.1859
"Madhya Pradesh",KHANDWA,"NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA)",BJP,Lotus,716164,1193,717357,1759417,"NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA)",BJP,Lotus,837969,940,838909,1909055,57.1410
Goa,"North Goa","SHRIPAD YESSO NAIK",BJP,Lotus,236926,977,237903,515441,"SHRIPAD YESSO NAIK",BJP,Lotus,244034,810,244844,556761,57.1227
Gujarat,Anand,"DILIP PATEL",BJP,Lotus,489507,1322,490829,1496859,"PATEL MITESH RAMESHBHAI (BAKABHAI)",BJP,Lotus,631581,1516,633097,1655870,57.1047
Jharkhand,Chatra,"SUNIL KUMAR SINGH",BJP,Lotus,295857,5,295862,1312562,"SUNIL KUMAR SINGH",BJP,Lotus,526205,1872,528077,1425218,57.0316
Kerala,Malappuram,"E. AHAMED",IUML,Ladder,437520,203,437723,1198444,"P.K. Kunhalikutty",IUML,Ladder,589153,720,589873,1370544,57.0136
"Uttar Pradesh",Unnao,"SAKSHI MAHARAJ",BJP,Lotus,518039,795,518834,2164392,"Swami Sakshi Ji Maharaj",BJP,Lotus,702441,1066,703507,2191465,56.8685
Karnataka,Shimoga,"B. S. YEDDYURAPPA",BJP,Lotus,605654,562,606216,1562243,B.Y.RAGHAVENDRA.,BJP,Lotus,728902,970,729872,1676668,56.8623
"Uttar Pradesh",Farrukhabad,"MUKESH RAJPUT",BJP,Lotus,406137,58,406195,1613781,"Mukesh Rajput",BJP,Lotus,567930,1950,569880,1708585,56.8202
