VID,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
799,Bihar,"Gopalganj (SC)",NOTA,,,,NOTA,,51565,95,51660,1839514
11,"Andhra Pradesh","Aruku ",NOTA,,,,NOTA,,47955,22,47977,1451418
541,Bihar,"Paschim Champaran",NOTA,,,,NOTA,,45637,62,45699,1633824
4249,Odisha,"Nabarangpur ",NOTA,,,,NOTA,,44580,2,44582,1461004
7560,Chhattisgarh,BASTAR,NOTA,,,,NOTA,,41656,11,41667,1379122
